"features","nunique","range","type","weight"
"Klassenübliche Ausstattung nach ADAC-Vorgabe",347,"min: 200.00 mean: 3561.47 max: 15690.00","less is better",80
"Grundpreis",4288,"min: 7990.00 mean: 42031.53 max: 65000.00","less is better",70
"Kofferraumvolumen normal",276,"min: 63.00 mean: 505.09 max: 3497.00","more is better",70
"Autom. Abstandsregelung",41,,"category",55
"Verbrauch kombiniert (WLTP)",193,"min: 0.80 mean: 7.24 max: 78.40","less is better",40
"Einparkhilfe - Bezeichnung",7,,"category",35
"Beschleunigung 0-100km/h",129,"min: 3.80 mean: 9.44 max: 19.10","less is better",30
"Einparkassistent",47,,"category",25
"Höchstgeschwindigkeit",127,"min: 45.00 mean: 193.20 max: 1881.00","more is better",25
"Einparkhilfe",46,,"category",20
"Garantie (Fahrzeug)",31,,"more is better",20
"Notbremsassistent",5,,"category",20
"Kosten",901,,"less is better",15
"Reichweite WLTP (elektrisch)",195,"min: 40.00 mean: 225.04 max: 650.00","more is better",15
"Spurwechselassistent",32,,"category",15
"Wärmepumpe",7,,"category",15
"Antriebsart",3,,"category",10
"Bodenfreiheit maximal",116,"min: 81.00 mean: 161.35 max: 310.00","more is better",10
"Getriebeart",6,,"category",10
"Länge",362,"min: 2335.00 mean: 4777.64 max: 7391.00","less is better",10
"Lichtsensor",4,,"category",10
"Regensensor",6,,"category",10
"Rücksitzbank umklappbar",4,,"category",10
"Smartphone-Integration (Android Auto/Apple CarPlay)",22,,"category",10
"Stauassistent",4,,"category",10
"Fahrgeräusch",18,"min: 62.00 mean: 69.53 max: 372.00","less is better",7
"Fernlichtassistent",31,,"category",7
"Reifendruckkontrolle - Bezeichnung",3,,"category",7
"Smartphone-Induktive Ladeeinrichtung",21,,"category",7
"Vollkaskobetrag 100% 500 € SB",21,"min: 411.00 mean: 1274.98 max: 3520.00","less is better",7
"Werkstattkosten",112,"min: 38.00 mean: 79.96 max: 189.00","less is better",6
"Airbag Sonstige - Bezeichnung",6,,"category",5
"Breite",170,,"less is better",5
"Tankgröße",64,"min: 5.60 mean: 58.54 max: 105.00","more is better",5
"Wendekreis",64,,"less is better",5
"Betriebskosten",180,"min: 76.00 mean: 166.96 max: 302.00","less is better",4
"Fixkosten",140,"min: 57.00 mean: 121.61 max: 247.00","less is better",4
"Haftpflichtbeitrag 100%",13,"min: 552.00 mean: 858.10 max: 1251.00","less is better",4
"Teilkaskobeitrag 150 € SB",21,,"less is better",4
"3-Punkt-Gurt hinten Mitte",3,,"category",2
"ABS",2,,"category",2
"Airbag Beifahrer",12,,"category",2
"Airbag Deaktivierung",7,,"category",2
"Airbag Fahrer",2,,"category",2
"Airbag Sonstige",2,,"category",2
"Bremsassistent",2,,"category",2
"Bremse hinten",2,,"category",2
"City-Notbremsassistent",3,,"category",2
"Digitaler Radioempfang (DAB)",5,,"category",2
"Drehmoment (Systemleistung)",121,,"more is better",2
"Emergency Assistent",2,,"category",2
"Fußgängererkennung",3,,"category",2
"Fußgängerschutz-System",2,,"category",2
"Intelligenter Geschwindigkeitsassistent",2,,"category",2
"KFZ-Steuer pro Jahr ohne Steuerbefreiung",350,"min: 20.00 mean: 198.05 max: 818.00","less is better",2
"Kollisionswarnung",4,,"category",2
"Kopfairbag vorne",6,,"category",2
"Lackgarantie",10,,"skip",2
"Mittenairbag hinten",2,,"category",2
"Mittenairbag vorne",4,,"category",2
"Navigation",117,,"category",2
"Notruffunktion",11,,"category",2
"Reifendruckkontrolle",14,,"category",2
"Seitenairbag hinten",14,,"category",2
"Seitenairbag vorne",9,,"category",2
"Seitenairbag vorne - Bezeichnung",3,,"category",2
"Servolenkung",3,,"category",2
"Spurhalteassistent",19,,"category",2
"Wertverlust",716,"min: 107.00 mean: 513.33 max: 984.00","less is better",2
"Abbiegeassistent",2,,"category",1
"Abbiegelicht",5,,"category",1
"AC Ladekabel Haushalt",14,,"category",1
"AC Ladekabel Ladestation",30,,"category",1
"Aktivlenkung",3,,"skip",1
"Aktive Kopfstützen",5,,"category",1
"Alufelgen",65,,"category",1
"Antriebsschlupfregelung",1,,"category",1
