2011,2012,2013,2014,2015,2016,2017,2018,kw,mark,model
,,,,,24950,26800,33000,125,Abarth,124 Spider (NF )
,,11450,12550,13850,21490,,,103,Abarth,595 Custom (312)
,,,,13800,15500,24250,,132,Abarth,595 Competizione (312)
,,,20300,22750,25450,28550,39900,139,Abarth,695 Biposto (312)
,,10750,11750,13000,20190,,,99,Abarth,595C Custom (312)
,,,,,11850,13300,18490,107,Abarth,595 (312)
,,,,,,14850,21190,118,Abarth,595 Pista (312)
,,,,,14350,16050,22490,121,Abarth,595 Turismo (312)
,,,,,,17450,24890,121,Abarth,695 XSR Yamaha (312)
,,,,,16100,18000,25190,132,Abarth,595 Competizione (312)
,,,,,13500,15450,21090,107,Abarth,595C (312)
,,,,,,17200,23790,118,Abarth,595C Pista (312)
,,,,,15900,18200,25090,121,Abarth,595C Turismo (312)
,,,,,,19900,27490,121,Abarth,695C XSR Yamaha (312)
,,,,,17750,20300,27790,132,Abarth,595C Competizione (312)
9100,10150,29700,,,,,,147,Alfa Romeo,159 1.8 TBi 16V (939)
6950,7775,26700,,,,,,100,Alfa Romeo,159 2.0 JTDM 16V (939)
7975,8900,29000,,,,,,125,Alfa Romeo,159 2.0 JTDM 16V (939)
8025,8975,29000,,,,,,125,Alfa Romeo,159 2.0 JTDM 16V Eco (939)
8875,9900,31050,,,,,,147,Alfa Romeo,159 Sportwagon 1.8 TBi 16V (939)
7150,7975,28050,,,,,,100,Alfa Romeo,159 Sportwagon 2.0 JTDM 16V (939)
8175,9150,30350,,,,,,125,Alfa Romeo,159 Sportwagon 2.0 JTDM 16V (939)
8225,9200,30350,,,,,,125,Alfa Romeo,159 Sportwagon 2.0 JTDM 16V Eco
,,30500,33900,37350,40700,45850,63500,177,Alfa Romeo,4C (960)
,,,,42150,46200,52000,72000,177,Alfa Romeo,4C Spider (960)
,,,,,30350,34000,47800,206,Alfa Romeo,Giulia 2.0 Turbo 16V Veloce Q4 AT8 (952)
,,,,,20050,22500,33100,100,Alfa Romeo,Giulia 2.2 Diesel (952)
,,,,,20850,23100,34100,110,Alfa Romeo,Giulia 2.2 Diesel (952)
,,,,,22950,25950,39000,132,Alfa Romeo,Giulia 2.2 Diesel Advanced Efficiency AT8 (952)
