,model,kw,mark,new,2017,2016,2015,2014,2013,2012,2011
0,124 Spider (NF ),125.0,Abarth,33000,26800,24950,,,,,
1,595 Custom (312),103.0,Abarth,21490,,,13850,12550,11450,,
2,595 Competizione (312),132.0,Abarth,24250,,15500,13800,,,,
3,695 Biposto (312),139.0,Abarth,39900,28550,25450,22750,20300,,,
4,595C Custom (312),99.0,Abarth,20190,,,13000,11750,10750,,
5,595 (312),107.0,Abarth,18490,13300,11850,,,,,
6,595 Pista (312),118.0,Abarth,21190,14850,,,,,,
7,595 Turismo (312),121.0,Abarth,22490,16050,14350,,,,,
8,695 XSR Yamaha (312),121.0,Abarth,24890,17450,,,,,,
9,595 Competizione (312),132.0,Abarth,25190,18000,16100,,,,,
10,595C (312),107.0,Abarth,21090,15450,13500,,,,,
11,595C Pista (312),118.0,Abarth,23790,17200,,,,,,
12,595C Turismo (312),121.0,Abarth,25090,18200,15900,,,,,
13,695C XSR Yamaha (312),121.0,Abarth,27490,19900,,,,,,
14,595C Competizione (312),132.0,Abarth,27790,20300,17750,,,,,
15,159 1.8 TBi 16V (939),147.0,Alfa Romeo,29700,,,,,,10150,9100
16,159 2.0 JTDM 16V (939),100.0,Alfa Romeo,26700,,,,,,7775,6950
17,159 2.0 JTDM 16V (939),125.0,Alfa Romeo,29000,,,,,,8900,7975
18,159 2.0 JTDM 16V Eco (939),125.0,Alfa Romeo,29000,,,,,,8975,8025
19,159 Sportwagon 1.8 TBi 16V (939),147.0,Alfa Romeo,31050,,,,,,9900,8875
20,159 Sportwagon 2.0 JTDM 16V (939),100.0,Alfa Romeo,28050,,,,,,7975,7150
21,159 Sportwagon 2.0 JTDM 16V (939),125.0,Alfa Romeo,30350,,,,,,9150,8175
22,159 Sportwagon 2.0 JTDM 16V Eco,125.0,Alfa Romeo,30350,,,,,,9200,8225
23,4C (960),177.0,Alfa Romeo,63500,45850,40700,37350,33900,30500,,
24,4C Spider (960),177.0,Alfa Romeo,72000,52000,46200,42150,,,,
25,Giulia 2.0 Turbo 16V Veloce Q4 AT8 (952),206.0,Alfa Romeo,47800,34000,30350,,,,,
26,Giulia 2.2 Diesel (952),100.0,Alfa Romeo,33100,22500,20050,,,,,
27,Giulia 2.2 Diesel (952),110.0,Alfa Romeo,34100,23100,20850,,,,,
28,Giulia 2.2 Diesel Advanced Efficiency AT8 (952),132.0,Alfa Romeo,39000,25950,22950,,,,,
29,Giulia 2.2 Diesel Super (952),132.0,Alfa Romeo,37600,25000,22100,,,,,
30,Giulia 2.2 Diesel Super Q4 AT8 (952),132.0,Alfa Romeo,43300,29150,,,,,,
31,Giulia 2.2 Diesel Veloce Q4 AT8 (952),154.0,Alfa Romeo,46800,32100,28650,,,,,
32,Giulia Quadrifoglio (952),375.0,Alfa Romeo,79000,54400,48600,,,,,
33,Giulietta 1.4 TB 16V,77.0,Alfa Romeo,19250,,,,,8125,7325,
34,Giulietta 1.4 TB 16V,88.0,Alfa Romeo,19950,,,,,8950,8125,7250
