Alle Marken,,,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen,,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
Abarth,,,,,,,,,,,,,,
124 Spider (NF ),,2,,125,(170),III,33000,26800,24950,,,,,
595 Custom (312),,3,,103,(140),III,21490,,,13850,12550,11450,,
595 Competizione (312),,3,,132,(180),II,24250,,15500,13800,,,,
695 Biposto (312),,3,,139,(190),II,39900,28550,25450,22750,20300,,,
595C Custom (312),,2,,99,(135),III,20190,,,13000,11750,10750,,
595 (312),,3,,107,(145),II,18490,13300,11850,,,,,
595 Pista (312),,3,,118,(160),II,21190,14850,,,,,,
595 Turismo (312),,3,,121,(165),II,22490,16050,14350,,,,,
695 XSR Yamaha (312),,3,,121,(165),II,24890,17450,,,,,,
595 Competizione (312),,3,,132,(180),II,25190,18000,16100,,,,,
595C (312),,2,,107,(145),III,21090,15450,13500,,,,,
595C Pista (312),,2,,118,(160),III,23790,17200,,,,,,
595C Turismo (312),,2,,121,(165),III,25090,18200,15900,,,,,
695C XSR Yamaha (312),,2,,121,(165),III,27490,19900,,,,,,
595C Competizione (312),,2,,132,(180),III,27790,20300,17750,,,,,
Alfa Romeo,,,,,,,,,,,,,,
159 1.8 TBi 16V (939),,,4,147,(200),IV,29700,,,,,,10150,9100
159 2.0 JTDM 16V (939),,,4,100,(136),V,26700,,,,,,7775,6950
159 2.0 JTDM 16V (939),,,4,125,(170),V,29000,,,,,,8900,7975
159 2.0 JTDM 16V Eco (939),,,4,125,(170),V,29000,,,,,,8975,8025
159 Sportwagon 1.8 TBi 16V (939),,,5,147,(200),IV,31050,,,,,,9900,8875
159 Sportwagon 2.0 JTDM 16V (939),,,5,100,(136),V,28050,,,,,,7975,7150
159 Sportwagon 2.0 JTDM 16V (939),,,5,125,(170),V,30350,,,,,,9150,8175
159 Sportwagon 2.0 JTDM 16V Eco,,(939),5,125,(170),V,30350,,,,,,9200,8225
4C (960),,,2,177,(240),III,63500,45850,40700,37350,33900,30500,,
4C Spider (960),,,2,177,(240),III,72000,52000,46200,42150,,,,
Giulia 2.0 Turbo 16V Veloce Q4 AT8 (952),,,4,206,(280),IV,47800,34000,30350,,,,,
Giulia 2.2 Diesel (952),,,4,100,(136),V,33100,22500,20050,,,,,
Giulia 2.2 Diesel (952),,,4,110,(150),V,34100,23100,20850,,,,,
Giulia 2.2 Diesel Advanced Efficiency AT8 (952),,,4,132,(180),V,39000,25950,22950,,,,,
Giulia 2.2 Diesel Super (952),,,4,132,(180),V,37600,25000,22100,,,,,
Giulia 2.2 Diesel Super Q4 AT8 (952),,,4,132,(180),V,43300,29150,,,,,,
Giulia 2.2 Diesel Veloce Q4 AT8 (952),,,4,154,(210),V,46800,32100,28650,,,,,
Giulia Quadrifoglio (952),,,4,375,(510),IV,79000,54400,48600,,,,,
Giulietta 1.4 TB 16V,(940),,5,77,(105),III,19250,,,,,8125,7325,
Giulietta 1.4 TB 16V,(940),,5,88,(120),III,19950,,,,,8950,8125,7250
Giulietta 1.4 TB 16V,(940),,5,88,(120),III,21500,13950,12450,,,,,
Giulietta 1.4 TB 16V Sprint (940),,,5,110,(150),III,25200,,14500,13150,11900,,,
Giulietta 1.4 TB 16V Super (940),,,5,110,(150),III,25500,16400,14650,,,,,
Giulietta 1.4 TB 16V MultiAir Super TCT (940),,,5,125,(170),III,28600,18100,16150,,,,,
Giulietta 1.8 TBi 16V Veloce (940),,,5,177,(240),III,35550,23200,20700,,,,,
Giulietta 1.6 JTDM 16V (940),,,5,77,(105),IV,21650,,,,,8475,7625,6875
Giulietta 1.6 JTDM 16V Impression (940),,,5,88,(120),IV,23150,,12000,10950,,,,
Giulietta 1.6 JTDM 16V (940),,,5,88,(120),IV,23500,14350,12350,,,,,
Giulietta 2.0 JTDM 16V Veloce (940),,,5,110,(150),IV,25900,,,,11600,10700,,
Giulietta 2.0 JTDM 16V Super (940),,,5,110,(150),IV,27500,17500,15000,,,,,
Giulietta 2.0 JTDM 16V Turismo TCT (940),,,5,129,(175),IV,30400,,15600,14150,12700,,,
Giulietta 2.0 JTDM 16V Super TCT (940),,,5,129,(175),IV,30800,18900,16200,,,,,
Giulietta Quadrifoglio (940),,,5,173,(235),III,29950,,,,14250,12800,11550,10450
"ADAC e.V. München, Fahrzeugtechnik Infosysteme (FTI)",,,,,,,,,,,,,Seite: 3 von 165,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,

Gebrauchtwagenpreise Herbst/Winter 2018/2019,,,,,,,,,,,,
Alle Marken,,,km- Neu-,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl. preis,,,2017,2016 2015 2014 2013 2012,,,,,2011
Alfa Romeo,,,,,,,,,,,,
Giulietta Quadrifoglio (940),5,177,(240),III,32500,,19650,17850,16350,,,
MiTo 1.4 8V (955),3,51,(70),III,13950,,,,,6225,5575,
MiTo 1.4 8V Impression (955),3,51,(70),III,14100,,,,7100,6325,,
MiTo 1.4 8V Impression (955),3,57,(78),III,14400,,8975,8025,7325,,,
MiTo 1.4 8V Junior (955),3,58,(78),III,15200,,,,7675,6925,,
MiTo 0.9 8V MultiAir Turismo (955),3,62,(85),III,16950,,,,,7475,6675,
MiTo 0.9 8V TwinAir Junior (955),3,77,(105),III,16450,,,,8150,7275,,
MiTo 1.4 16V MultiAir Super (955),3,77,(105),III,16950,,,,,,6425,5700
MiTo 0.9 8V TwinAir Impression (955),3,77,(105),III,16000,,,8875,7925,,,
MiTo 1.4 TB 16V MultiAir Turismo TCT (955),3,103,(140),III,21500,,,11700,10450,,,
MiTo 1.4 TB 16V MultiAir Veloce TCT (955),3,125,(170),III,24000,16250,14550,,,,,
MiTo 1.3 JTDM 16V Eco (955),3,62,(85),IV,16950,,,,,6950,6075,5375
MiTo 1.3 JTDM 16V Eco Impression (955),3,62,(85),IV,17500,,,8900,7950,,,
MiTo 1.6 JTDM 16V Turismo (955),3,88,(120),IV,21000,,,9925,8850,7775,6875,6100
MiTo Quadrifoglio (955),3,125,(170),III,21800,,,,10050,8975,7900,7025
Stelvio 2.0 Turbo 16V Q4 AT8 (949),5,147,(200),IV,42200,28200,,,,,,
Stelvio 2.0 Turbo 16V Super Q4 AT8 (949),5,206,(280),IV,50000,33400,,,,,,
Stelvio 2.2 Diesel AT8 (949),5,110,(150),V,39800,26600,,,,,,
