Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
,Fahrzeug/Modell (Generation**),Türen,kW (PS),Kl.,preis,2018,2017,2016,2015,2014,2013,2012,,
Abarth,,,,,,,,,,,,,,
124 Spider  (NF ),,2,125  (170),IV,33000,24150,23000,21400,,,,,,
595 Custom (312),,3,103  (140),IV,21490,,,,13150,11900,10900,,,
595 Competizione (312),,3,132  (180),III,24250,,,14400,12900,,,,,
695 Biposto (312),,3,139  (190),III,39900,30050,26850,23950,21400,19100,,,,
595C Custom (312),,2,99  (135),IV,20190,,,,12350,11200,10200,,,
595  (312),,3,107  (145),III,18490,13850,12350,11050,,,,,,
595 Pista (312),,3,118  (160),III,21190,16250,14100,,,,,,,
595 Turismo (312),,3,121  (165),III,22490,17050,15250,13600,,,,,,
695 XSR Yamaha (312),,3,121  (165),III,24890,18600,16600,,,,,,,
595 Competizione (312),,3,132  (180),III,25190,18800,16750,15000,,,,,,
695 Rivale (312),,3,132  (180),III,28000,20500,18300,,,,,,,
595C  (312),,2,107  (145),IV,21090,15500,13850,12100,,,,,,
595C Pista (312),,2,118  (160),IV,23790,17400,15550,,,,,,,
595C Turismo (312),,2,121  (165),IV,25090,18400,16450,14400,,,,,,
695C XSR Yamaha (312),,2,121  (165),IV,27490,20200,18000,,,,,,,
595C Competizione (312),,2,132  (180),IV,27790,20550,18350,16050,,,,,,
695C Rivale (312),,2,132  (180),IV,30000,22200,19800,,,,,,,
Alfa Romeo,,,,,,,,,,,,,,
4C  (960),,2,177  (240),IV,63500,46450,43150,37900,34800,31600,28700,,,
4C Spider  (960),,2,177  (240),IV,72000,52650,48900,43050,39250,,,,,
Giulia 2.0 Turbo 16V AT8 (952),,4,147  (200),V,37000,25750,,,,,,,,
,Giulia 2.0 Turbo 16V Veloce Q4 AT8 (952),4,206  (280),V,47800,34100,30450,27200,,,,,,
Giulia 2.2 Diesel,-952,4,100  (136),VI,33100,,19500,17450,,,,,,
Giulia 2.2 Diesel,-952,4,110  (150),VI,34100,22700,19650,18500,,,,,,
Giulia 2.2 Diesel AT8 (952),,4,118  (160),VI,37000,25600,,,,,,,,
,Giulia 2.2 Diesel Advanced Efficiency AT8 (952),4,132  (180),VI,39000,26000,22300,20100,,,,,,
Giulia 2.2 Diesel Super (952),,4,132  (180),VI,37600,25100,21500,19400,,,,,,
Giulia 2.2 Diesel Super Q4 AT8 (952),,4,132  (180),VI,43300,28050,25050,,,,,,,
Giulia 2.2 Diesel Super AT8 (952),,4,140  (190),VI,42000,29300,,,,,,,,
Giulia 2.2 Diesel Super Q4 AT8 (952),,4,140  (190),VI,44500,31050,,,,,,,,
Giulia 2.2 Diesel Veloce Q4 AT8 (952),,4,154  (210),VI,46800,30250,27600,24650,,,,,,
Giulia Quadrifoglio,-952,4,375  (510),V,79000,56100,48250,43500,,,,,,
