Alle Marken,,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,
Fahrzeug/Modell (Generation**),,Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,
Abarth,,,,,,,,,,,,,,
124 Spider  (NF),2,125  (170),,IV,33000,,24300,21450,20450,19050,,,,
595 Custom (312),3,103  (140),,III,21490,,,,,,11900,10800,,
595 Competizione (312),3,132  (180),,III,24250,,,,,12350,10900,,,
695 Biposto (312),3,139  (190),,III,39900,,29200,27200,24300,20550,18050,16150,,
595C Custom (312),2,99  (135),,III,20190,,,,,,11150,10150,,
595  (312),3,107  (145),,III,18490,,,12550,11200,10550,,,,
595 Pista (312),3,118  (160),,III,21190,,,16050,13950,,,,,
595 Pista (312),3,121,-165,III,22990,20050,,,,,,,,
695 XSR Yamaha (312),3,121,-165,III,24890,,19700,18350,16350,,,,,
595 Competizione (312),3,132  (180),,III,25190,,,17000,15150,12850,,,,
695 Rivale (312),3,132  (180),,III,28000,,,18550,16550,,,,,
595C  (312),2,107  (145),,III,21090,,,13950,12550,11000,,,,
595C Pista (312),2,118  (160),,III,23790,,,15650,14100,,,,,
595C Pista (312),2,121,-165,III,25590,20050,,,,,,,,
695C XSR Yamaha (312),2,121,-165,III,27490,,,18200,16350,,,,,
595C Competizione (312),2,132  (180),,III,27790,,,18500,16650,14600,,,,
695C Rivale (312),2,132  (180),,III,30000,,,20000,18000,,,,,
Alfa Romeo,,,,,,,,,,,,,,
4C  (960),2,177,-240,IV,63500,,,44050,40900,32750,30200,27350,,
4C Spider  (960),2,177,-240,IV,72000,,56050,49950,46350,37150,34100,,,
Giulia 2.0 Turbo 16V AT8 (952),4,147,-200,IV,36067,29000,26200,24150,,,,,,
Giulia 2.0 Turbo 16V Veloce AT8 (952),4,206  (280),,IV,49227,40500,,,,,,,,
Giulia Quadrifoglio  (952),4,375  (510),,IV,79000,,,53650,48900,44150,,,,
Giulia Quadrifoglio OPF AT8 (952),4,375  (510),,IV,77691,62450,56400,53650,,,,,,
Giulia 2.2 Diesel  (952),4,100  (136),,VI,33100,,,,16600,14500,,,,
Giulia 2.2 Diesel  (952),4,110  (150),,VI,34100,,,19650,17350,15950,,,,
Giulia 2.2 Diesel AT8 (952),4,118  (160),,VI,36067,27300,24400,22000,,,,,,
Giulia 2.2 Diesel Advanced Efficiency AT8 (952),4,132  (180),,VI,39000,,,22500,20500,18850,,,,
Giulia 2.2 Diesel Super (952),4,132  (180),,VI,37600,,,21700,19750,18150,,,,
Giulia 2.2 Diesel Super Q4 AT8 (952),4,132  (180),,VI,43300,,,21950,20800,,,,,
Giulia 2.2 Diesel Business AT8 (952),4,140  (190),,VI,40454,30500,,,,,,,,
Giulia 2.2 Diesel Super Q4 AT8 (952),4,140  (190),,VI,43378,32100,28950,26400,,,,,,
Giulietta 1.4 TB 16V  (940),5,88  (120),,III,21500,,,14850,13350,10850,,,,
Giulietta 1.4 TB 16V Sprint (940),5,110  (150),,III,25200,,,,,13300,11850,10300,,
Giulietta 1.4 TB 16V Super (940),5,110  (150),,III,25500,,,16250,13900,13400,,,,
Giulietta 1.4 TB 16V MultiAir Super TCT (940),5,125  (170),,III,28600,,,16400,14750,13650,,,,
Giulietta Quadrifoglio  (940),5,177,-240,III,32500,,,,,18200,15700,14900,,
Giulietta 1.8 TBi 16V Veloce (940),5,177,-240,III,35550,,,23000,20650,19150,,,,
Giulietta 1.6 JTDM 16V Impression (940),5,88  (120),,V,23150,,,,,9725,8675,,,
Giulietta 1.6 JTDM 16V  (940),5,88  (120),,V,23500,,,13450,12000,9975,,,,
Giulietta 2.0 JTDM 16V Super (940),5,110  (150),,V,27500,,,15850,14150,12000,,,,
Giulietta 2.0 JTDm 16V Sprint TCT (940),5,125  (170),,V,32655,24350,,,,,,,,
Giulietta 2.0 JTDM 16V Turismo TCT (940),5,129  (175),,V,30400,,,,,12400,10550,9350,,
Giulietta 2.0 JTDM 16V Super TCT (940),5,129  (175),,V,30800,,,17650,15750,13400,,,,
,,,,,,,,,,,,,,
ADAC e.V. | 81360 München,Seite: 3 von 213,,,,,,,,,,,,,
** Herstellerinterne Baureihenbezeichnung bzw. amtlicher Klartext,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gebrauchtwagenpreise Frühjahr/Sommer 2022,,,,,,,,,,,,,,
Alle Marken,,,km-Neu-,,,,,Durchschnittspreise in Euro für Baujahr,,,,,,
Fahrzeug/Modell (Generation**),Türen kW (PS),,Kl.,preis,2020,2019,2018,2017,2016,2015,2014,,,
Alfa Romeo,,,,,,,,,,,,,,
MiTo 1.4 8V Impression (955),3,57  (78),III,14400,,,,,7525,6225,5900,,,
