,adult_points,adult_percentage,child_points,child_percentage,road users_points,road users_percentage,assist_points,assist_percentage,total_points,URL,name,stars,id,YEAR
18,35.8,94.0,45.0,91.0,45.9,85.0,15.7,98.0,142.39999999999998,https://www.euroncap.com/en/results/tesla/model%2Bs/47760,Tesla Model S,5,47760,2022
41,36.9,97.0,43.0,87.0,44.8,82.0,15.7,98.0,140.4,https://www.euroncap.com/en/results/tesla/model%2520y/46618,Tesla Model Y,5,46618,2022
215,34.3,90.0,43.0,87.0,48.2,89.0,14.6,91.0,140.1,https://www.euroncap.com/en/results/lexus/rx/48753,Lexus RX,5,48753,2022
97,36.4,95.0,45.0,91.0,45.1,83.0,13.1,81.0,139.6,https://www.euroncap.com/en/results/mercedes-benz/eqe/47133,Mercedes-EQ EQE,5,47133,2022
232,33.8,88.0,45.0,91.0,48.2,89.0,12.2,76.0,139.2,https://www.euroncap.com/en/results/mazda/cx-60/46610,MAZDA CX-60,5,46610,2022
278,33.6,88.0,44.0,89.0,45.4,84.0,15.3,95.0,138.3,https://www.euroncap.com/en/results/subaru/outback/43500,Subaru Outback,5,43500,2021
247,34.6,91.0,42.9,87.0,45.2,83.0,14.7,91.0,137.4,https://www.euroncap.com/en/results/lexus/nx/45229,Lexus NX,5,45229,2022
105,35.5,93.0,44.0,89.0,43.5,80.0,13.4,83.0,136.4,https://www.euroncap.com/en/results/polestar/2/42252,Polestar 2,5,42252,2021
206,35.6,93.0,43.7,89.0,43.3,80.0,13.2,82.0,135.8,https://www.euroncap.com/en/results/mercedes-benz/c-class/45873,Mercedes-Benz C-Class,5,45873,2022
234,36.6,96.0,45.0,91.0,41.3,76.0,12.9,80.0,135.79999999999998,https://www.euroncap.com/en/results/mercedes-benz/eqs/44203,Mercedes-EQ EQS,5,44203,2021
4,34.8,91.0,43.0,87.0,42.9,79.0,15.1,94.0,135.79999999999998,https://www.euroncap.com/en/results/wey/coffee%252001/46621,WEY Coffee 01,5,46621,2022
94,36.5,96.0,45.0,91.0,44.2,92.0,9.8,75.0,135.5,https://www.euroncap.com/en/results/mercedes-benz/a-class/33728,Mercedes-Benz A-Class,5,33728,2018
235,36.6,96.0,44.8,91.0,44.1,91.0,9.8,75.0,135.3,https://www.euroncap.com/en/results/mercedes-benz/cla-class/38093,Mercedes-Benz CLA,5,38093,2019
214,34.2,90.0,45.0,91.0,42.2,78.0,13.5,84.0,134.9,https://www.euroncap.com/en/results/lucid/air/48413,Lucid Air,5,48413,2022
230,33.9,89.0,43.0,87.0,44.4,82.0,13.4,83.0,134.70000000000002,https://www.euroncap.com/en/results/honda/civic/47744,Honda Civic,5,47744,2022
27,34.9,91.0,43.0,87.0,41.9,77.0,14.7,91.0,134.5,https://www.euroncap.com/en/results/genesis/g80/42794,Genesis G80,5,42794,2021
122,35.6,93.0,44.0,89.0,41.3,76.0,13.6,85.0,134.5,https://www.euroncap.com/en/results/vw/id.5/45239,Volkswagen ID.5,5,45239,2021
31,35.6,93.0,44.0,89.0,41.3,76.0,13.6,85.0,134.5,https://www.euroncap.com/en/results/vw/id.4/42456,Volkswagen ID.4,5,42456,2021
102,37.2,97.0,43.0,87.0,44.1,91.0,10.0,76.0,134.3,https://www.euroncap.com/en/results/bmw/z4/38091,BMW Z4,5,38091,2019
8,33.7,88.0,43.0,87.0,42.8,79.0,14.7,91.0,134.2,https://www.euroncap.com/en/results/toyota/bz4x/47139,Toyota bZ4X,5,47139,2022
39,33.7,88.0,43.0,87.0,42.8,79.0,14.7,91.0,134.2,https://www.euroncap.com/en/results/subaru/solterra/47137,Subaru Solterra,5,47137,2022
145,32.6,85.0,40.9,83.0,47.0,87.0,13.2,82.0,133.7,https://www.euroncap.com/en/results/toyota/corolla%2Bcross/47763,Toyota Corolla Cross,5,47763,2022
229,35.2,92.0,44.4,90.0,40.4,74.0,13.5,84.0,133.5,https://www.euroncap.com/en/results/mercedes-benz/glc/48755,Mercedes-Benz GLC,5,48755,2022
36,35.8,94.0,43.0,87.0,39.6,73.0,15.0,93.0,133.4,https://www.euroncap.com/en/results/wey/coffee%252002/47770,WEY Coffee 02,5,47770,2022
52,36.6,96.0,43.8,89.0,38.9,71.0,14.1,88.0,133.4,https://www.euroncap.com/en/results/smart/%231/48000,smart #1,5,48000,2022
283,34.8,91.0,44.8,91.0,38.2,70.0,15.2,95.0,133.0,https://www.euroncap.com/en/results/nissan/qashqai/44204,Nissan Qashqai,5,44204,2021
140,31.9,84.0,44.0,89.0,43.8,81.0,13.0,81.0,132.7,https://www.euroncap.com/en/results/jeep/grand%2520cherokee/47749,Jeep Grand Cherokee,5,47749,2022
285,33.8,88.0,42.0,85.0,43.7,80.0,13.2,82.0,132.7,https://www.euroncap.com/en/results/toyota/mirai/43501,Toyota Mirai,5,43501,2021
108,34.7,91.0,45.8,93.0,37.7,69.0,14.5,90.0,132.7,https://www.euroncap.com/en/results/mercedes-benz/t-class/46257,Mercedes-Benz T-Class,5,46257,2022
35,34.7,91.0,45.8,93.0,37.7,69.0,14.5,90.0,132.7,https://www.euroncap.com/en/results/mercedes-benz/citan%2Btourer/46254,Mercedes-Benz Citan Tourer,5,46254,2022
28,32.8,86.0,43.9,89.0,41.1,76.0,14.8,92.0,132.6,https://www.euroncap.com/en/results/bmw/x1/47128,BMW X1,5,47128,2022
80,37.1,97.0,41.1,83.0,44.8,93.0,9.5,72.0,132.5,https://www.euroncap.com/en/results/bmw/4%2Bseries%2Bcoup%25c3%25a9/42776,BMW 4 Series Coupe,5,42776,2019
205,35.5,93.0,44.0,89.0,39.6,73.0,13.4,83.0,132.5,https://www.euroncap.com/en/results/maxus/mifa%2B9/48610,Maxus MIFA 9,5,48610,2022
34,34.8,91.0,43.0,87.0,39.5,73.0,15.2,95.0,132.5,https://www.euroncap.com/en/results/nio/et7/47752,NIO ET7,5,47752,2022
