country,dislikes,likes,views,youtube_ids,youtube_links_count
netherlands,23438,211988,13288003,"bRpw1dLPfgM, iTqN2jmt5dw, Eztx7Wr8PtE, ReOcQVgIAFs, 0F_FrLDpt30",5
russia,46245,353896,13882323,"4kk-tv3Zzk4, ZA1oAQPoOvQ, gEpUgRtXBss, ovhJHU8wnxU, wCKHUldGcEI",5
sweden,10987,64069,5082178,"CTaMD3JUtA8, YKR2GiorZuQ, allrou65mCY, iEEuG5XML-A, y5w8qSEg9Ls",5
switzerland,10135,124523,7074855,"j7zJoWwbz4Y, zEGgKQf1cws, GdSmDZckaAw, Oae2OMg8Ooo, 6PxoMWtAC7M",5
italy,85764,1004369,87163808,"tEwvUu1dBTs, yBj5PsgWBl4, Va-JXIhsYD0, 22lISUXgSUw, 6kpKVCW3oVg",5
cyprus,18281,144795,10054017,"ESkhPXfl4A0, I61oQCgnjpI, 3jCAyvVJVFw, INK3lvMDU0M, WPFUZswe_zw",5
iceland,24084,74666,4728393,"m9VWSF_WuIk, 6S1sByqdPok, wKQCjARwLsU, UGrRhIj4FRw, -ELSP8zqhXo, U1HNhA-7OEU",6
norway,4696,46631,2602292,"50WutSRykdE, sq1bH_uo1nU, qGpvsSmvnU4, yKoEt0-9ujA, 64wttdCyxO4",5
portugal,18462,80135,5372848,"9t5_yUNp0bg, Q1tkstZdEjU, SIGn9_yMLn4, K0Oj8N03rZg, xSbp8lwCQp8",5
greece,12087,134757,6766307,"Lc_b7SlK9js, -MSY13IfckU, THmHbsTiaig, ulQoRPcQVDc, gPHOFq4hoIU",5
armenia,12604,85407,6306718,"5oKqBnWIDv4, q_46dy4yJwg, avBwSUYlTtI, hKHsNcgfMk8",4
france,65616,201087,12149075,"VydsMYa9lyI, nvKyGQ8fzuY, gXLF0rgi3M0, tCJRigN2DmI, AQ1fiVRKTOg",5
malta,7934,81514,11293870,"jDw1OXqZ6w0, mRwLt9HCjbk, AyXlDQx5ovM, tdyQ-ebzFgk",4
slovenia,11622,76531,4694954,"m4Ci3nrBdno, 2C9W7MbDivU, 8daS5BVcKx8, YkNZ5JM1Ss8, wnA0doOsGDY, vleF8-gAn_U",6
azerbaijan,8281,95880,3587255,"DJFtbYsn6eY, iyZJ_aMw5hY, xqJyI5jfhEw, o6Ib0C0PxN8",4
israel,18030,75174,4447374,"wEZRK8KIkKc, LsA-1gPV8nY, AIMOgw8gZVI, TBYqgW4E7qY, 7d__XXiVJkE",5
denmark,9098,30159,2659949,"8JOQvr-Ld9g, qgA2BqvwEcI, FQDkwuNjO8s, fAdSQxaXsSk, HVvAzwiV0hw",5
spain,26291,213685,10846906,"1JLtDWvIXNY, pEaS6atxFgc, eWEFU2c3tBI, Ve4f_xnFbws, LiLhDL8sToY, vMBRFLBRStA",6
belgium,5720,47743,3176542,"T5o9-9Uo3yQ, iFB9NnjU4ns, aJrLcRkCBo4, rgSt2NNrYsk, 17QXkQEckE4",5
australia,17279,67464,4760897,"8RmThfoBB_E, 5YI623ePilI, VlpBPO9_L4E, m3WF2AsxLB8, jEMJ9PYGDfY",5
ireland,4827,21963,1710001,"RLF2CfiSAFU, LXBIDYh_UE4, lX7DT9GMHQM, P_SehZvRaVk, Nh8iFJTxVHI",5
estonia,5840,29804,1866209,"Ga4re32dN5k, zX41EmHGXck, cKpADQ3gAxo, 1-7NFt8EAe0, a4bfC0NPl1I",5
austria,7817,15705,1337155,"cncRSZGYKJw, h5ppfP5pm9U, ryNF0hXj1ww, S2HFBexHDXk, GZtbCvPyxaQ",5
germany,26332,34595,3388055,"RuqS6-KJFgA, MHCLVsmJda4, IermclVvo2I, 5JoIMKeYmbg, xEZwgjP9HPw",5
czech-republic,10231,51396,2478509,"dKJAoaZvzRs, yH1-uy9FYKE, E63kzXA1pqY, Ho9MuPJPZ90, duSSVY_YJyY, 8-HR-L4QY0g",6
north-macedonia,7702,47540,2739262,"Sw-NQ1a1zZ0, uorpKaAQQYI, e5yuP9deQB8, 3A65lXLNZfk",4
united-kingdom,4523,23319,1901267,"jCi3U5NhV3M, 8_IcrNgV-O4, -3nIUKVp75U, JrxpNQxpcQM, Y5JPSWYs53A",5
poland,27783,87005,6365763,"_8kX-DZr40o, x-M_7TeG5QI, IEu0F5uobVo, hVkyOjwpUCQ, mQSxrcDoZgs",5
finland,6482,15971,1569481,"uxSt5pwHCH8, MOBFjpqKSi0, lVNu_6X8arI, d4DPGAJhSac, VSPhIwOJfRs",5
romania,10773,47436,2746185,"cvzruGxaAO4, _loQfk_ZUOs, zWpqOA8rF5E, T1dhF0_QyH0, cZC9o_Z90yo, IDxXOdGSiiQ",6
hungary,5509,45895,2929482,"IpVr0pBLfI4, WVW_vZHYnkk, o-s__gs-16Y, OZkENZ4PXZw, QjVyhLbiIPw, aHTSYXTzCZ8",6
belarus,19146,55151,3806618,"TUgznFAwVXo, Ao93RTN90Xs, 2tzuph4cWLw, MJdt3JIdmMQ, 6IxL8uvArVg",5
lithuania,4874,38620,2660779,"bvuRdplp8wc, LzfmYE_HsgM, ut-0TaybLRE, 5Nb3HMzsfZY, QG-lH7LJdpg",5
moldova,4300,15369,1223894,"areV6tnq3po, OOnPFsjkhbs, p3OC8qhZBWQ, -mo207V5Z2o, X3RauAppvCQ",5
croatia,12741,33317,2200657,"XOwPqUKG83s, gXT5E8kUgfs, XH1XfjICYLc, YttRPqpB_XI, sWpRSYfY7O8",5
georgia,5474,17613,1099902,"G0w4_0N9fUs, KXIbXgwjCUM, BoOvVqtZyus, QCOMCqOXmUo, vu4nHsaAJwU",5
serbia,4858,50230,2462965,"wofZn3yJiMY, PVHIrVvil4A, j-5FgSqp2Fg, _ZlGaTtWCWI, MP7LdL3tUPw",5
albania,5877,47516,2607056,"P0lToVjUzDM, OQFbA7yfzjo, eo4aFzAkQkA, eGH20RCBUyI, iQWNLc4eLT8",5
latvia,4004,19768,1271458,"6j61TWsjcJY, NCtKU3m3R-8, xs7GvrBGy54, wfDMzm9ZtrU, TjDnAtgrJCo",5
san-marino,19664,31746,2294489,"l5arNtTYK1s, hE9lkb7Z-Qw, 6xVYCjISkLA, _BWHL5I-E-A",4
montenegro,8864,14498,1227101,"ZkU1Apx64L0, oV200JAouTc, FhcBOMGPBnk, EXmXfHhLBoQ, KXNjnOoYFNg",5
