,country,dislikes,likes,views,youtube_ids,youtube_links_count,total_votes,likes_ratio
0,switzerland,2887,45665,2420308,"6PxoMWtAC7M, GdSmDZckaAw",2,48552,0.9405379798978415
1,belgium,1611,21097,1376705,"rgSt2NNrYsk, 17QXkQEckE4",2,22708,0.9290558393517703
2,cyprus,5291,66808,3541339,"ESkhPXfl4A0, WPFUZswe_zw",2,72099,0.9266147935477608
3,italy,70136,834698,63325876,"22lISUXgSUw, tEwvUu1dBTs",2,904834,0.9224874396850693
4,greece,5826,65425,2805677,"Lc_b7SlK9js, ulQoRPcQVDc",2,71251,0.9182327265582237
5,malta,2943,32803,4221478,tdyQ-ebzFgk,1,35746,0.9176691098304706
6,estonia,956,10375,619554,"a4bfC0NPl1I, zX41EmHGXck",2,11331,0.9156296884652723
7,lithuania,1962,21106,1385210,"LzfmYE_HsgM, ut-0TaybLRE",2,23068,0.9149471128836484
8,netherlands,8233,85001,5220813,"bRpw1dLPfgM, Eztx7Wr8PtE",2,93234,0.9116953042881353
9,azerbaijan,3390,31791,1142365,iyZJ_aMw5hY,1,35181,0.9036411699496888
10,albania,1712,13483,693044,"eo4aFzAkQkA, iQWNLc4eLT8",2,15195,0.887331358999671
11,norway,2136,16689,1135685,"50WutSRykdE, sq1bH_uo1nU",2,18825,0.8865338645418327
12,hungary,3197,23736,1587172,"WVW_vZHYnkk, QjVyhLbiIPw, o-s__gs-16Y",3,26933,0.8812980358667806
13,armenia,5732,40662,3830786,q_46dy4yJwg,1,46394,0.876449540888908
14,united-kingdom,2210,13489,1076794,"-3nIUKVp75U, 8_IcrNgV-O4",2,15699,0.8592267023377285
15,spain,8751,51782,3023616,"pEaS6atxFgc, 1JLtDWvIXNY",2,60533,0.855434225959394
16,serbia,1725,10016,590286,"j-5FgSqp2Fg, wofZn3yJiMY",2,11741,0.8530789540924963
17,sweden,5414,31398,2345463,"iEEuG5XML-A, allrou65mCY",2,36812,0.8529283929153537
18,ireland,1603,9219,666032,"LXBIDYh_UE4, RLF2CfiSAFU",2,10822,0.851875808538163
19,russia,27149,156133,6113177,"gEpUgRtXBss, ovhJHU8wnxU",2,183282,0.8518730699141214
20,slovenia,5844,32169,2260424,"2C9W7MbDivU, m4Ci3nrBdno, vleF8-gAn_U",3,38013,0.846263120511404
21,latvia,1645,8429,572101,"6j61TWsjcJY, wfDMzm9ZtrU",2,10074,0.8367083581496922
22,denmark,3001,15341,1430244,"qgA2BqvwEcI, fAdSQxaXsSk",2,18342,0.8363864355032167
23,north-macedonia,3756,19091,1059194,Sw-NQ1a1zZ0,1,22847,0.8356020484089814
24,san-marino,2110,9582,612182,l5arNtTYK1s,1,11692,0.8195347245980157
25,portugal,8884,37360,2567044,"9t5_yUNp0bg, xSbp8lwCQp8",2,46244,0.8078885909523398
26,czech-republic,4683,19342,886230,"yH1-uy9FYKE, Ho9MuPJPZ90, duSSVY_YJyY",3,24025,0.8050780437044746
27,montenegro,1618,6465,450595,"ZkU1Apx64L0, EXmXfHhLBoQ",2,8083,0.7998267969813189
28,israel,13455,53251,2762345,"LsA-1gPV8nY, 7d__XXiVJkE",2,66706,0.7982940065361437
29,poland,10030,38784,2419104,"hVkyOjwpUCQ, mQSxrcDoZgs",2,48814,0.7945261605277174
30,moldova,1285,4706,401386,"areV6tnq3po, p3OC8qhZBWQ",2,5991,0.7855116007344349
31,finland,1832,6423,527003,"MOBFjpqKSi0, d4DPGAJhSac",2,8255,0.7780738946093276
32,france,45353,133809,8055119,"VydsMYa9lyI, tCJRigN2DmI",2,179162,0.7468603833402172
33,romania,8090,23666,1523144,"cvzruGxaAO4, T1dhF0_QyH0, _loQfk_ZUOs",3,31756,0.7452449930721753
34,iceland,7991,22429,1422387,"UGrRhIj4FRw, m9VWSF_WuIk, -ELSP8zqhXo",3,30420,0.737310979618672
35,croatia,7976,16428,1341540,"XOwPqUKG83s, XH1XfjICYLc",2,24404,0.6731683330601541
36,georgia,2540,5150,506242,"QCOMCqOXmUo, KXIbXgwjCUM",2,7690,0.6697009102730819
37,austria,3086,5914,470712,"ryNF0hXj1ww, S2HFBexHDXk",2,9000,0.6571111111111111
38,australia,8909,14558,1188957,"8RmThfoBB_E, VlpBPO9_L4E",2,23467,0.620360506242809
39,belarus,8967,11117,1074342,"Ao93RTN90Xs, 2tzuph4cWLw",2,20084,0.5535251941844254
40,germany,19056,22064,2069044,"RuqS6-KJFgA, MHCLVsmJda4",2,41120,0.5365758754863813
