Index,Name,ISIN
DAX,ADIDAS,DE000A1EWWW0
DAX,ALLIANZ,DE0008404005
DAX,BASF,DE000BASF111
DAX,BAYER,DE000BAY0017
DAX,BMW ST,DE0005190003
DAX,CONTINENTAL,DE0005439004
DAX,COVESTRO AG O.N.,DE0006062144
DAX,DAIMLER,DE0007100000
DAX,DELIVERY HERO SE NA O.N.,DE000A2E4K43
DAX,DT. BANK,DE0005140008
DAX,DT. BÖRSE,DE0005810055
DAX,DT. POST,DE0005552004
DAX,DT. TELEKOM,DE0005557508
DAX,DT. WOHNEN,DE000A0HN5C6
DAX,E.ON,DE000ENAG999
DAX,FMC,DE0005785802
DAX,FRESENIUS,DE0005785604
DAX,HEID. CEMENT,DE0006047004
DAX,Henkel VZ,DE0006048432
DAX,INFINEON,DE0006231004
DAX,"LINDE PLC EO 0,001",IE00BZ12WP82
DAX,MERCK,DE0006599905
DAX,MTU AERO,DE000A0D9PT0
DAX,MÜNCH. RÜCK,DE0008430026
DAX,RWE ST,DE0007037129
DAX,SAP,DE0007164600
DAX,SIEMENS,DE0007236101
DAX,SIEMENS ENERGY AG NA O.N.,DE000ENER6Y0
DAX,VOLKSWAGEN VZ,DE0007664039
DAX,VONOVIA,DE000A1ML7J1
MDAX,AIRBUS GROUP,NL0000235190
MDAX,AIXTRON,DE000A0WMPJ6
MDAX,ALSTRIA,DE000A0LD2U1
MDAX,"AROUNDTOWN EO-,01",LU1673108939
MDAX,AURUBIS,DE0006766504
MDAX,BECHTLE,DE0005158703
MDAX,BEIERSDORF,DE0005200000
MDAX,BRENNTAG SE NA O.N.,DE000A1DAHH0
MDAX,CANCOM SE O.N.,DE0005419105
MDAX,CARL-ZEISS MEDITEC,DE0005313704
MDAX,COMMERZBANK,DE000CBK1001
MDAX,COMPUGROUP MED. NA O.N.,DE000A288904
MDAX,CTS EVENTIM,DE0005470306
MDAX,DÜRR,DE0005565204
MDAX,ENCAVIS AG INH. O.N.,DE0006095003
MDAX,EVONIK INDUSTRIES NA O.N.,DE000EVNK013
MDAX,EVOTEC SE INH O.N.,DE0005664809
MDAX,FRAPORT,DE0005773303
MDAX,FREENET AG NA O.N.,DE000A0Z2ZZ5
MDAX,FUCHS PETRO. VZ,DE0005790430
MDAX,GEA GROUP,DE0006602006
MDAX,GERRESHEIMER,DE000A0LD6E6
MDAX,"GRAND CITY PROPERT.EO-,10",LU0775917882
MDAX,HANNO. RÜCK,DE0008402215
MDAX,HELLA GMBH+CO. KGAA O.N.,DE000A13SX22
MDAX,HELLOFRESH SE INH O.N.,DE000A161408
MDAX,HOCHTIEF,DE0006070006
MDAX,HUGO BOSS AG NA O.N.,DE000A1PHFF7
MDAX,K+S,DE000KSAG888
MDAX,KION GROUP AG,DE000KGX8881
MDAX,KNORR-BREMSE AG INH O.N.,DE000KBX1006
MDAX,LANXESS,DE0005470405
MDAX,LEG IMMOBILIEN SE NA O.N.,DE000LEG1110
MDAX,LUFTHANSA,DE0008232125
MDAX,MORPHOSYS,DE0006632003
MDAX,NEMETSCHEK SE O.N.,DE0006452907
MDAX,NORDEX,DE000A0D6554
MDAX,PORSCHE AUTOM.HLDG VZO,DE000PAH0038
MDAX,PROSIEBENSAT.1,DE000PSM7770
MDAX,PUMA,DE0006969603
MDAX,"QIAGEN NV EO -,01",NL0012169213
