Name ,Industry ,Index weighting ,Number of,in Mio. € ,Location ,Symbol
Aareal Bank AG ,Bank ,"0,42 ",59.857.221 ,"1.071,44 ",Wiesbaden ,ARL
Airbus SE ,"Aerospace, Defence ","8,15 ",411.818.320 ,"21.015,04 ","Leiden (Netherlands), Toulouse (France) ",AIR
Aixtron SE ,Semiconductor industry ,,,,Herzogenrath ,AIXA
alstria office REIT-AG ,Real estate ,"0,95 ",177.593.422 ,"2.441,91 ",Hamburg ,AOX
Aroundtown S.A. ,Real estate ,"2,55 ",1.536.397.797 ,"6.571,42 ",Luxemburg ,AT1
Aurubis AG ,Metals ,"0,60 ",44.956.723 ,"1.548,63 ",Hamburg ,NDA
Bechtle AG ,IT services ,"1,64 ",42.000.000 ,"4.230,20 ",Neckarsulm ,BC8
Brenntag AG ,Chemical distribution ,"2,82 ",154.500.000 ,"7.261,50 ",Essen ,BNR
Cancom SE ,IT services ,"0,76 ",38.548.001 ,"1.950,53 ",München ,COK
Carl Zeiss Meditec AG ,Medical technology ,"1,29 ",89.440.570 ,"3.334,77 ",Jena ,AFX
Commerzbank AG ,Bank ,"1,49 ",1.252.357.634 ,"3.829,84 ",Frankfurt ,CBK
CompuGroup Medical SE ,Software ,"0,57 ",53.219.350 ,"1.466,69 ",Koblenz ,COP
CTS Eventim AG & Co. KGaA ,Leisure-events ,"0,90 ",96.000.000 ,"2.321,54 ",München ,EVD
Deutsche Lufthansa AG ,Airlines ,,,,Köln ,LHA
Dürr AG ,Plant and machinery construction ,"0,43 ",69.202.080 ,"1.109,83 ",Bietigheim-Bissingen ,DUE
Evonik Industries AG ,Chemistry ,"1,74 ",466.000.000 ,"4.488,28 ",Essen ,EVK
Evotec SE ,Biotechnology ,"1,21 ",151.228.427 ,"3.110,84 ",Hamburg ,EVT
Fraport AG ,Airport operator ,"0,59 ",92.468.704 ,"1.520,74 ",Frankfurt am Main ,FRA
Freenet AG ,Telecommunications ,"0,74 ",128.061.016 ,"1.910,67 ",Büdelsdorf ,FNTN
Fuchs Petrolub SE ,Chemistry ,"0,98 ",69.500.000 ,"2.538,14 ",Mannheim ,FPE3
GEA Group AG ,Machinery ,"1,66 ",180.492.172 ,"4.280,26 ",Düsseldorf ,G1A
Gerresheimer AG ,Packaging ,"0,90 ",31.400.000 ,"2.310,38 ",Düsseldorf ,GXI
Grand City Properties S.A. ,Real estate ,"0,89 ",167.917.771 ,"2.290,71 ",Luxemburg (Luxemburg) ,GYC
Grenke AG ,Finance ,"0,75 ",46.353.918 ,"1.939,07 ",Baden-Baden ,GLJ
Hannover Rückversicherung AG ,Reinsurance ,"3,63 ",120.597.134 ,"9.347,16 ",Hannover ,HNR1
HELLA GmbH & Co. KGaA ,Automotive ,"0,61 ",111.111.112 ,"1.576,00 ",Lippstadt ,HLE
HelloFresh SE ,Meal kit ,"2,27 ",165.737.182 ,"5.857,18 ",Berlin ,HFG
Hochtief AG ,Construction ,"0,68 ",70.646.707 ,"1.748,57 ",Essen ,HOT
Hugo Boss AG ,"Clothing, Accessories ","0,65 ",70.400.000 ,"1.663,48 ",Metzingen ,BOSS
K+S AG ,Mining (fertilizer and salt) ,"0,46 ",191.400.000 ,"1.178,64 ",Kassel ,SDF
Kion Group AG ,Handling equipment ,"1,36 ",118.090.000 ,"3.511,93 ",Frankfurt am Main ,KGX
Knorr-Bremse AG ,Manufacturing ,"1,72 ",161.200.000 ,"4.423,47 ",München ,KBX
Lanxess AG ,Chemistry ,"1,46 ",87.447.852 ,"3.765,01 ",Köln ,LXS
LEG Immobilien AG ,Real estate ,"3,25 ",69.009.836 ,"8.368,13 ",Düsseldorf ,LEG
Metro AG ,Wholesale ,"0,56 ",360.121.736 ,"1.453,05 ",Düsseldorf ,B4B
Morphosys AG ,Biotechnology ,"1,40 ",32.890.046 ,"3.614,17 ",Martinsried ,MOR
Nemetschek SE ,Software ,"1,34 ",115.500.000 ,"3.447,22 ",München ,NEM
OSRAM Licht AG ,Lighting ,"0,61 ",96.848.074 ,"1.581,43 ",München ,OSR
ProSiebenSat.1 Media SE ,Media ,"0,73 ",233.000.000 ,"1.893,65 ",Unterföhring ,PSM
Puma SE ,Sports equipment ,"2,20 ",150.824.640 ,"5.679,23 ",Herzogenaurach ,PUM
Qiagen N.V. ,Biotechnology ,"3,37 ",230.829.218 ,"8.684,30 ",Venlo (Netherlands) ,QGEN
Rational AG ,Manufacturing ,"0,76 ",11.370.000 ,"1.965,35 ",Landsberg am Lech ,RAA
Rheinmetall AG ,Defence ,"1,28 ",43.558.850 ,"3.307,13 ",Düsseldorf ,RHM
Rocket Internet SE ,Venture capital ,"0,54 ",137.262.959 ,"1.383,82 ",Berlin ,
RTL Group SA ,Media ,"0,40 ",154.742.806 ,"1.043,46 ",Luxemburg (Luxemburg) ,RRTL
Sartorius AG ,Pharmaceutical and laboratory equipment ,"3,88 ",37.440.000 ,"9.999,67 ",Göttingen ,SRT
Scout24 AG ,Online-market ,"2,85 ",107.600.000 ,"7.357,13 ",München ,G24
Siemens Healthineers AG ,Medical technology ,"2,53 ",1.000.000.000 ,"6.514,13 ",Erlangen ,SHL
Siltronic AG ,Semiconductor industry ,"0,73 ",30.000.000 ,"1.873,82 ",München ,WAF
Software AG ,Software ,"0,67 ",74.000.000 ,"1.726,40 ",Darmstadt ,SOW
Ströer SE & Co. KGaA ,"Media, out-of-home advertising ",,,,Köln ,SAX
Symrise AG ,Chemistry ,"4,96 ",135.426.610 ,"12.791,96 ",Holzminden ,SY1
TAG Immobilien AG ,Real estate ,"1,26 ",146.498.765 ,"3.240,55 ",Hamburg ,TEG
TeamViewer AG ,Software ,"1,79 ",200.000.000 ,"4.601,68 ",Göppingen ,TMV
Telefónica Deutschland Holding AG ,Telecommunications ,"0,96 ",2.974.554.993 ,"2.473,86 ",München ,O2D
Thyssenkrupp AG ,Conglomerate ,"1,32 ",622.531.741 ,"3.397,41 ",Essen and Duisburg ,TKA
Uniper SE ,Electric utility ,"1,79 ",365.960.000 ,"4.616,55 ",Düsseldorf ,UN01
United Internet AG ,Telecommunications ,"1,52 ",194.000.000 ,"3.914,33 ",Montabaur ,UTDI
Varta AG ,Electrical equipment ,,,,Ellwangen ,VAR1
Zalando SE ,Online retailing ,"3,94 ",252.848.768 ,"10.154,47 ",Berlin ,ZAL
